2_5005,27,965
2_5005,28,182
2_5005,6,1619
2_5005,21,63
2_5005,26,937
2_5005,5,146
2_5005,7,305
2_5005,11,166
2_5005,1,59
2_5005,15,249
2_5005,17,1780
2_5005,34,205
2_5005,0,-18059
2_5005,20,573
2_5005,8,594
2_5005,2,522
2_5006,35,21
2_5006,6,1619
2_5006,33,35
2_5006,20,573
2_5006,24,1708
2_5006,32,2
2_5006,7,305
2_5006,1,59
2_5006,15,249
2_5006,17,1780
2_5006,25,48
2_5006,26,937
2_5006,30,502
2_5006,31,2
2_5006,11,166
2_5006,22,135
2_5006,5,146
2_5006,19,949
2_5006,12,2438
2_5006,13,160
2_5006,18,13
2_5006,29,948
2_5006,8,594
2_5006,34,205
2_5006,0,-18059
2_5006,16,84
2_5006,21,63
2_5006,3,486
2_5006,10,307
2_5006,2,522
2_5006,23,812
2_5006,27,965
2_5006,9,675
2_5006,14,212
2_5006,4,157
2_5006,28,182
2_5007,8,594
2_5007,9,675
2_5007,17,1780
2_5007,31,2
2_5007,4,157
2_5007,29,948
2_5007,32,2
2_5007,12,2438
2_5007,18,13
2_5007,25,48
2_5007,28,182
2_5007,3,486
2_5007,15,249
2_5007,24,1708
2_5007,27,965
2_5007,14,212
2_5007,16,84
2_5007,20,573
2_5007,23,812
2_5007,6,1619
2_5007,0,-18059
2_5007,10,307
2_5007,13,160
2_5007,7,305
2_5007,5,146
2_5007,34,205
2_5007,11,166
2_5007,33,35
2_5007,35,21
2_5007,30,502
2_5007,1,59
2_5007,2,522
2_5007,21,63
2_5007,19,949
2_5007,22,135
2_5007,26,937
2_5008,12,922
2_5008,22,114
2_5008,30,502
2_5008,35,21
2_5008,6,876
2_5008,31,169
2_5008,32,576
2_5008,13,368
2_5008,18,879
2_5008,2,373
2_5008,5,383
2_5008,16,19
2_5008,26,4
2_5008,20,495
2_5008,14,330
2_5008,11,199
2_5008,34,205
2_5008,29,1023
2_5008,0,-18275
2_5008,1,1526
2_5008,17,1733
2_5008,7,488
2_5008,33,35
2_5008,10,30
2_5008,4,571
2_5008,15,328
2_5008,23,1002
2_5008,27,490
2_5008,24,1752
2_5008,8,925
2_5008,9,115
2_5008,19,951
2_5008,28,182
2_5008,3,578
2_5008,21,63
2_5008,25,48
2_5009,13,160
2_5009,17,1780
2_5009,1,59
2_5009,14,212
2_5009,15,249
2_5009,20,573
2_5009,35,21
2_5009,8,594
2_5009,9,675
2_5009,16,84
2_5009,18,13
2_5009,23,812
2_5009,24,1708
2_5009,34,205
2_5009,26,937
2_5009,27,965
2_5009,29,948
2_5009,3,486
2_5009,31,2
2_5009,33,35
2_5009,12,2438
2_5009,19,949
2_5009,2,522
2_5009,22,135
2_5009,30,502
2_5009,5,146
2_5009,6,1619
2_5009,4,157
2_5009,7,305
2_5009,10,307
2_5009,11,166
2_5009,25,48
2_5009,28,182
2_5009,0,-18059
2_5009,21,63
2_5009,32,2
2_5010,38,206
2_5010,39,89
2_5010,11,472
2_5010,14,112
2_5010,27,1583
2_5010,28,102
2_5010,31,212
2_5010,37,1691
2_5010,2,255
2_5010,4,629
2_5010,8,578
2_5010,1,2370
2_5010,24,1078
2_5010,6,779
2_5010,26,62
2_5010,5,1487
2_5010,40,33
2_5010,16,102
2_5010,19,89
2_5010,20,2060
2_5010,29,607
2_5010,34,66
2_5010,9,817
2_5010,10,224
2_5010,17,8
2_5010,23,878
2_5010,25,372
2_5010,0,-22970
2_5010,12,1311
2_5010,13,38
2_5010,15,113
2_5010,21,115
2_5010,22,193
2_5010,30,488
2_5010,33,35
2_5010,41,874
2_5010,42,116
2_5010,18,43
2_5010,3,210
2_5010,32,1139
2_5010,35,209
2_5010,36,166
2_5010,7,959
2_5011,35,550
2_5011,8,294
2_5011,39,21
2_5011,47,16
2_5011,49,1690
2_5011,11,84
2_5011,20,1043
2_5011,19,336
2_5011,21,52
2_5011,3,669
2_5011,40,681
2_5011,45,1132
2_5011,51,305
2_5011,12,1384
2_5011,14,530
2_5011,27,6
2_5011,28,41
2_5011,29,53
2_5011,31,664
2_5011,33,1134
2_5011,13,1062
2_5011,17,42
2_5011,41,372
2_5011,43,251
2_5011,22,499
2_5011,5,877
2_5011,4,1169
2_5011,44,19
2_5011,48,808
2_5011,26,139
2_5011,32,216
2_5011,25,17
2_5011,36,212
2_5011,9,1298
2_5011,52,706
2_5011,1,826
2_5011,15,495
2_5011,23,481
2_5011,6,223
2_5011,16,1855
2_5011,18,145
2_5011,2,597
2_5011,24,372
2_5011,30,86
2_5011,34,984
2_5011,0,-27014
2_5011,10,654
2_5011,38,298
2_5011,42,140
2_5011,46,596
2_5011,37,450
2_5011,7,440
3_5000,30,502
3_5000,3,486
3_5000,13,160
3_5000,31,2
3_5000,7,305
3_5000,0,-18059
3_5000,14,212
3_5000,6,1619
3_5000,8,594
3_5000,10,307
3_5000,19,949
3_5000,32,2
3_5000,33,35
3_5000,4,157
3_5000,1,59
3_5000,17,1780
3_5000,18,13
3_5000,2,522
3_5000,21,63
3_5000,24,1708
3_5000,27,965
3_5000,15,249
3_5000,16,84
3_5000,23,812
3_5000,26,937
3_5000,12,2438
3_5000,20,573
3_5000,22,135
3_5000,25,48
3_5000,35,21
3_5000,11,166
3_5000,29,948
3_5000,5,146
3_5000,9,675
3_5000,34,205
3_5000,28,182
3_5001,7,305
3_5001,13,160
3_5001,2,522
3_5001,21,63
3_5001,26,937
3_5001,24,1708
3_5001,29,948
3_5001,12,2438
3_5001,8,594
3_5001,1,59
3_5001,14,212
3_5001,30,502
3_5001,31,2
3_5001,11,166
3_5001,16,84
3_5001,4,157
3_5001,20,573
3_5001,23,812
3_5001,27,965
3_5001,5,146
3_5001,0,-18059
3_5001,10,307
3_5001,17,1780
3_5001,18,13
3_5001,9,675
3_5001,25,48
3_5001,28,182
3_5001,6,1619
3_5001,32,2
3_5001,33,35
3_5001,35,21
3_5001,34,205
3_5001,15,249
3_5001,19,949
3_5001,22,135
3_5001,3,486
3_5002,16,84
3_5002,32,2
3_5002,8,594
3_5002,17,1780
3_5002,29,948
3_5002,3,486
3_5002,35,21
3_5002,11,166
3_5002,12,2438
3_5002,1,59
3_5002,15,249
3_5002,28,182
3_5002,31,2
3_5002,4,157
3_5002,13,160
3_5002,21,63
3_5002,27,965
3_5002,6,1619
3_5002,34,205
3_5002,19,949
3_5002,2,522
3_5002,24,1708
3_5002,25,48
3_5002,33,35
3_5002,9,675
3_5002,10,307
3_5002,22,135
3_5002,23,812
3_5002,26,937
3_5002,5,146
3_5002,0,-18059
3_5002,14,212
3_5002,18,13
3_5002,20,573
3_5002,30,502
3_5002,7,305
3_5003,33,35
3_5003,12,2438
3_5003,20,573
3_5003,31,2
3_5003,26,937
3_5003,30,502
3_5003,18,13
3_5003,22,135
3_5003,3,486
3_5003,5,146
3_5003,34,205
3_5003,0,-18059
3_5003,14,212
3_5003,15,249
3_5003,2,522
3_5003,24,1708
3_5003,8,594
3_5003,10,307
3_5003,13,160
3_5003,19,949
3_5003,25,48
3_5003,27,965
3_5003,9,675
3_5003,35,21
3_5003,21,63
3_5003,23,812
3_5003,29,948
3_5003,32,2
3_5003,4,157
3_5003,1,59
3_5003,16,84
3_5003,17,1780
3_5003,7,305
3_5003,11,166
3_5003,28,182
3_5003,6,1619
3_5004,12,2438
3_5004,13,160
3_5004,33,35
3_5004,7,305
3_5004,0,-18059
3_5004,4,157
3_5004,8,594
3_5004,34,205
3_5004,10,307
3_5004,11,166
3_5004,20,573
3_5004,26,937
3_5004,3,486
3_5004,21,63
3_5004,29,948
3_5004,17,1780
3_5004,24,1708
3_5004,9,675
3_5004,18,13
3_5004,22,135
3_5004,28,182
3_5004,31,2
3_5004,32,2
3_5004,30,502
3_5004,1,59
3_5004,14,212
3_5004,16,84
3_5004,19,949
3_5004,25,48
3_5004,5,146
3_5004,6,1619
3_5004,15,249
3_5004,2,522
3_5004,23,812
3_5004,27,965
3_5004,35,21
3_5005,0,-18059
3_5005,11,166
3_5005,15,249
3_5005,35,21
3_5005,5,146
3_5005,1,59
3_5005,10,307
3_5005,22,135
3_5005,23,812
3_5005,28,182
3_5005,14,212
3_5005,18,13
3_5005,19,949
3_5005,4,157
3_5005,9,675
3_5005,2,522
3_5005,24,1708
3_5005,33,35
3_5005,34,205
3_5005,13,160
3_5005,17,1780
3_5005,6,1619
3_5005,7,305
3_5005,8,594
3_5005,20,573
3_5005,31,2
3_5005,21,63
3_5005,25,48
3_5005,27,965
3_5005,29,948
3_5005,3,486
3_5005,12,2438
3_5005,16,84
3_5005,26,937
3_5005,30,502
3_5005,32,2
3_5006,2,522
3_5006,20,573
3_5006,4,157
3_5006,12,2438
3_5006,13,160
3_5006,15,249
3_5006,16,84
3_5006,26,937
3_5006,35,21
3_5006,8,594
3_5006,23,812
3_5006,24,1708
3_5006,9,675
3_5006,10,307
3_5006,25,48
3_5006,6,1619
3_5006,34,205
3_5006,1,59
3_5006,14,212
3_5006,17,1780
3_5006,30,502
3_5006,19,949
3_5006,22,135
3_5006,27,965
3_5006,29,948
3_5006,5,146
3_5006,0,-18059
3_5006,11,166
3_5006,18,13
3_5006,28,182
3_5006,3,486
3_5006,31,2
3_5006,33,35
3_5006,7,305
3_5006,21,63
3_5006,32,2
3_5007,0,-18059
3_5007,10,307
3_5007,27,965
3_5007,6,1619
3_5007,7,305
3_5007,8,594
3_5007,19,949
3_5007,17,1780
3_5007,21,63
3_5007,29,948
3_5007,35,21
3_5007,4,157
3_5007,13,160
3_5007,33,35
3_5007,5,146
3_5007,34,205
3_5007,14,212
